src,dst,relation
60364581,NULL,Has Property
67308219,NULL,Has Property
23288303,LB of Bromley,Has Property
9957740,LB of Ealing,Has Property
8821322,NULL,Has Property
93136927,NULL,Has Property
8150858,LB of Merton,Has Property
49633650,NULL,Has Property
31164183,Amager Øst,Has Property
21564818,Amager Øst,Has Property
52564177,NULL,Has Property
27698797,NULL,Has Property
14109600,Nyboder,Has Property
10160659,NULL,Has Property
25807238,NULL,Has Property
34723427,NULL,Has Property
7409213,NULL,Has Property
5211870,Bondi Beach,Has Property
37520053,Lane Cove,Has Property
36410227,Neutral Bay,Has Property
14138978,Cremorne,Has Property
15739069,Crows Nest,Has Property
56755171,NULL,Has Property
1468796,Redfern,Has Property
10836848,Mission District,Has Property
33042850,Mission District,Has Property
44605053,Pacific Beach,Has Property
9450642,Pacific Beach,Has Property
1421509,Outer Sunset,Has Property
40772298,Western Addition/NOPA,Has Property
5027277,NULL,Has Property
31424634,Russian Hill,Has Property
37425993,Downtown,Has Property
29053496,Core-Columbia,Has Property
106658075,Pyrmont,Has Property
103803517,Central Business District,Has Property
9305329,NULL,Has Property
14223637,NULL,Has Property
64618288,NULL,Has Property
33363973,Nieuwmarkt en Lastage,Has Property
43103457,De Pijp,Has Property
9278374,NULL,Has Property
8953423,Rivierenbuurt,Has Property
10198755,Neukölln,Has Property
396363,La Vila Olímpica,Has Property
84094854,NULL,Has Property
102947901,NULL,Has Property
19481791,El Coll,Has Property
15693554,Vila de Gràcia,Has Property
35666153,NULL,Has Property
2394743,El Poblenou,Has Property
7032776,El Poblenou,Has Property
59294925,El Poblenou,Has Property
4822399,Prenzlauer Berg,Has Property
14232996,NULL,Has Property
58186316,Downtown,Has Property
35690045,La Sagrada Família,Has Property
102733863,L'Antiga Esquerra de l'Eixample,Has Property
17817358,el Fort Pienc,Has Property
2976480,Kreuzberg,Has Property
49741483,NULL,Has Property
3468407,Moabit,Has Property
15800623,Prenzlauer Berg,Has Property
102206197,Prenzlauer Berg,Has Property
12073600,Prenzlauer Berg,Has Property
31703837,NULL,Has Property
5609794,NULL,Has Property
84228805,Prenzlauer Berg,Has Property
20222471,Charlottenburg,Has Property
3789531,Kreuzberg,Has Property
1464268,Kreuzberg,Has Property
3339272,Neukölln,Has Property
14352380,Neukölln,Has Property
106784004,NULL,Has Property
26308500,Friedrichsfelde,Has Property
26514080,Rummelsburg,Has Property
23242776,IJplein en Vogelbuurt,Has Property
2745577,El Clot,Has Property
1791796,Sants-Montjuïc,Has Property
106269512,Les Tres Torres,Has Property
29122242,Dawson,Has Property
42632767,NULL,Has Property
21912193,Zilker,Has Property
31470830,NULL,Has Property
10606456,Schöneberg,Has Property
39588647,Tempelhof,Has Property
63410294,NULL,Has Property
3387042,NULL,Has Property
4005189,Ambelokipi,Has Property
4248171,NULL,Has Property
11681122,Plaka,Has Property
58684069,NULL,Has Property
71429907,Plaka,Has Property
2289590,NULL,Has Property
983886,Dreta de l'Eixample,Has Property
58691190,L'Antiga Esquerra de l'Eixample,Has Property
17211749,NULL,Has Property
4228273,El Gòtic,Has Property
22493110,El Gòtic,Has Property
102232639,El Gòtic,Has Property
3038266,El Gòtic,Has Property
116980696,NULL,Has Property
6832018,Dreta de l'Eixample,Has Property
26593914,El Raval,Has Property
3625681,El Raval,Has Property
23289152,La Nova Esquerra de l'Eixample,Has Property
12685758,NULL,Has Property
14376117,Watergraafsmeer,Has Property
4366178,NULL,Has Property
98833051,Slotermeer-Zuidwest,Has Property
106496433,Slotermeer-Zuidwest,Has Property
29340861,NULL,Has Property
20464207,NULL,Has Property
59203536,NULL,Has Property
10503075,Oud-West,Has Property
1923767,Oud-West,Has Property
33633903,NULL,Has Property
2228424,NULL,Has Property
50066663,Oud-West,Has Property
17691673,Oud-West,Has Property
6419611,Oud-West,Has Property
9419684,Fenway/Kenmore,Has Property
412644,Barton Hills,Has Property
7345137,University Hills,Has Property
34775340,McKinney,Has Property
114090688,NULL,Has Property
24935151,Parker Lane,Has Property
93671503,South First,Has Property
66526724,NULL,Has Property
537883,Hancock,Has Property
43044307,Gracywoods,Has Property
24797843,NULL,Has Property
20680433,NULL,Has Property
115578515,Govalle,Has Property
11579852,East Downtown,Has Property
4122442,West Austin,Has Property
35652732,Psyri,Has Property
36557664,NULL,Has Property
25750024,Brentwood,Has Property
16757186,Hyde Park,Has Property
72743983,North City Central/O'Connell Street,Has Property
7801410,Ballsbridge,Has Property
12567886,NULL,Has Property
12317226,Stoneybatter/Arbour Hill,Has Property
16470216,Nørrebro,Has Property
47967707,Valby,Has Property
60482976,Nørrebro,Has Property
3474557,NULL,Has Property
28098229,Vesterbro,Has Property
78674904,Vesterbro,Has Property
16542598,Vesterbro,Has Property
67593361,NULL,Has Property
14477078,NULL,Has Property
43248680,LB of Bromley,Has Property
47366027,NULL,Has Property
12243051,Lincoln Park,Has Property
4336170,Lincoln Park,Has Property
33127842,NULL,Has Property
41759131,Indre By,Has Property
107895488,NULL,Has Property
1006155,Bronzeville,Has Property
22825630,Bronzeville,Has Property
